2016-05-02 16:05:18 status half-installed libmpx0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:18 status unpacked libmpx0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:18 status unpacked libmpx0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:18 install libquadmath0:amd64 <none> 5.3.1-14ubuntu2
2016-05-02 16:05:18 status half-installed libquadmath0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:18 status unpacked libquadmath0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:18 status unpacked libquadmath0:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:19 install libgcc-5-dev:amd64 <none> 5.3.1-14ubuntu2
2016-05-02 16:05:19 status half-installed libgcc-5-dev:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:19 status unpacked libgcc-5-dev:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:19 status unpacked libgcc-5-dev:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:19 install gcc-5:amd64 <none> 5.3.1-14ubuntu2
2016-05-02 16:05:19 status half-installed gcc-5:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:20 status unpacked gcc-5:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:20 status unpacked gcc-5:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:21 install gcc:amd64 <none> 4:5.3.1-1ubuntu1
2016-05-02 16:05:21 status half-installed gcc:amd64 4:5.3.1-1ubuntu1
2016-05-02 16:05:21 status unpacked gcc:amd64 4:5.3.1-1ubuntu1
2016-05-02 16:05:21 status unpacked gcc:amd64 4:5.3.1-1ubuntu1
2016-05-02 16:05:21 install libstdc++-5-dev:amd64 <none> 5.3.1-14ubuntu2
2016-05-02 16:05:21 status half-installed libstdc++-5-dev:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:21 status unpacked libstdc++-5-dev:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:22 status unpacked libstdc++-5-dev:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:22 install g++-5:amd64 <none> 5.3.1-14ubuntu2
2016-05-02 16:05:22 status half-installed g++-5:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:23 status unpacked g++-5:amd64 5.3.1-14ubuntu2
